ch_name,x,y,z
L1,-0.09,0.013800000000000014,5.5557000000000024e-05
L2,-0.09,0.0048000000000000195,0.00011110699999999994
L3,-0.09,-0.013199999999999983,0.00011110699999999994
L4,-0.09,-0.022199999999999977,5.5557000000000024e-05
L5,-0.09,-0.023199999999999978,1.6666999999999832e-05
L6,-0.09,-0.023199999999999978,-1.6663000000000094e-05
L7,-0.09,-0.022199999999999977,-5.555300000000007e-05
L8,-0.09,-0.013199999999999983,-0.00011111300000000014
L9,-0.09,0.0048000000000000195,-0.00011111300000000014
L10,-0.09,0.013800000000000014,-5.555300000000007e-05
R1,0.09,0.013800000000000014,5.5557000000000024e-05
R2,0.09,0.0048000000000000195,0.00011110699999999994
R3,0.09,-0.013199999999999983,0.00011110699999999994
R4,0.09,-0.022199999999999977,5.5557000000000024e-05
R5,0.09,-0.023199999999999978,1.6666999999999832e-05
R6,0.09,-0.023199999999999978,-1.6663000000000094e-05
R7,0.09,-0.022199999999999977,-5.555300000000007e-05
R8,0.09,-0.013199999999999983,-0.00011111300000000014
R9,0.09,0.0048000000000000195,-0.00011111300000000014
R10,0.09,0.013800000000000014,-5.555300000000007e-05
